ip,timestamp,url,protocol,status,bytes,referrer,user_agent,hour,day_of_week,minute,url_path_depth,protocol_HTTP/1.0,protocol_HTTP/1.1,status_type,status_client_error,status_server_error,status_success,method_GET,method_HEAD,method_OPTIONS,method_POST,has_referrer,is_bot,browser_chrome,browser_firefox,browser_other,browser_safari,browser_wordpress
162.158.154.86,2024-10-19 01:03:19,/wp-content/upgrade/index.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:19,/cgi-bin/file.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:19,/.well-known/index.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:19,/wp-content/cloud.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-19 01:03:19,/.well-known/acme-challenge/index.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-19 01:03:19,/cgi-bin/404.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:19,/wp-includes/function.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:19,/file.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-19 01:03:19,/.well-known/acme-challenge/autoload_classmap.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-19 01:03:19,/wp-includes/themes.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:19,/wp-includes/wp-login.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:20,/wp-content/file.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:20,/wp-trackback.php,HTTP/1.1,200,380,-,-,1,5,3,1,False,True,success,False,False,True,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-19 01:03:20,/wp-includes/SimplePie/wp-login.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:20,/cgi-bin/index.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:20,/wp-admin/themes.php,HTTP/1.1,302,446,-,-,1,5,3,2,False,True,server_error,False,True,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-19 01:03:20,/.well-known/cloud.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
178.215.238.68,2024-10-20 00:03:17,/login.rsp,HTTP/1.1,404,453,-,hello world,0,6,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
167.99.55.110,2024-10-20 00:13:56,/wp-cron.php?doing_wp_cron=1729469636.1745829582214355468750,HTTP/1.1,200,259,-,wordpress/6.6.1; http://blog.thx.bz,0,6,13,1,False,True,success,False,False,True,False,False,False,True,0,0,False,False,False,False,True
143.110.222.166,2024-10-20 00:13:55,/,HTTP/1.1,200,15340,-,"mozilla/5.0 (iphone; cpu iphone os 16_1 like mac os x) applewebkit/605.1.15 (khtml, like gecko) version/16.1 mobile/15e148 safari/604.1",0,6,13,1,False,True,success,False,False,True,True,False,False,False,0,0,False,False,False,True,False
